,년월,성별,연령대,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
67,201704,남자,(10~19세),14607,2472,90,111,284,278,204,312,275,96,124,1939,0,2030,1989,1871,1484,0,1048,0,0
68,201704,남자,(20~29세),13772,3493,216,206,460,624,543,531,401,238,188,1141,0,1555,857,1300,1027,0,992,0,0
69,201704,남자,(30~39세),23067,3690,174,235,491,622,559,538,382,228,172,2027,0,3173,2183,3266,3107,0,2220,0,0
70,201704,남자,(40~49세),24665,4102,263,245,573,750,582,618,516,280,267,2870,0,3282,2920,3092,2521,0,1784,0,0
71,201704,남자,(50~59세),15797,3423,291,363,663,1029,644,759,642,488,268,1188,0,1609,1056,1357,1003,0,1014,0,0
72,201704,남자,(60~69세),9239,2167,204,323,396,827,464,642,439,389,184,420,0,695,429,628,606,0,426,0,0
73,201704,남자,(70~79세),4764,1232,115,162,298,449,255,387,291,231,119,182,0,316,127,286,204,0,110,0,0
74,201704,남자,(80~89세),1728,400,41,84,121,183,115,178,144,91,48,52,0,94,41,66,48,0,22,0,0
75,201704,남자,(90~99세),143,38,6,6,8,19,5,8,9,6,5,6,0,14,5,3,3,0,2,0,0
76,201704,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,201704,여자,(0~9세),17967,2340,54,102,228,234,146,235,179,52,88,2101,0,2544,2305,2887,2594,0,1878,0,0
78,201704,여자,(10~19세),14244,2360,76,80,243,265,182,235,251,86,130,1999,0,1978,1847,1936,1515,0,1061,0,0
79,201704,여자,(20~29세),13497,2922,138,172,329,460,405,376,309,152,142,1259,0,2016,983,1512,1236,0,1086,0,0
80,201704,여자,(30~39세),24552,3310,131,156,318,461,285,397,262,119,135,2542,0,3820,2788,3909,3502,0,2417,0,0
81,201704,여자,(40~49세),21770,3533,136,170,411,502,326,400,388,183,187,2718,0,3137,2798,2848,2351,0,1682,0,0
82,201704,여자,(50~59세),14549,3217,224,266,525,796,548,651,496,350,216,1066,0,1575,942,1405,1178,0,1094,0,0
83,201704,여자,(60~69세),9595,2254,178,286,454,757,426,566,445,340,161,489,0,842,461,774,720,0,442,0,0
84,201704,여자,(70~79세),6265,1596,142,246,379,598,313,529,427,255,168,259,0,428,205,353,237,0,130,0,0
85,201704,여자,(80~89세),3621,766,110,205,200,404,192,283,253,218,111,146,0,260,129,179,82,0,83,0,0
86,201704,여자,(90~99세),572,123,14,34,26,65,21,56,51,24,9,17,0,37,25,32,21,0,17,0,0
87,201704,여자,(100세_이상),23,5,0,0,1,3,2,1,0,2,2,0,0,1,1,2,2,0,1,0,0
88,201705,남자,(0~9세),19076,2425,60,85,233,258,132,238,191,67,86,2611,0,2674,2415,2849,2748,0,2004,0,0
89,201705,남자,(10~19세),14887,2451,89,113,278,276,201,302,273,96,126,2230,0,2035,1964,1880,1496,0,1077,0,0
90,201705,남자,(20~29세),14130,3482,216,204,461,619,554,521,403,237,189,1446,0,1569,860,1306,1009,0,1054,0,0
91,201705,남자,(30~39세),23522,3613,184,234,494,610,558,543,385,226,171,2610,0,3163,2146,3227,3061,0,2297,0,0
92,201705,남자,(40~49세),25138,4093,262,240,561,742,573,616,515,279,265,3361,0,3273,2899,3072,2539,0,1848,0,0
93,201705,남자,(50~59세),16095,3403,294,361,666,1031,648,749,640,489,268,1489,0,1600,1057,1344,1003,0,1053,0,0
94,201705,남자,(60~69세),9414,2174,204,322,396,825,460,643,442,389,183,549,0,695,427,629,616,0,460,0,0
95,201705,남자,(70~79세),4806,1232,113,164,299,450,255,387,287,235,121,211,0,315,132,288,203,0,114,0,0
96,201705,남자,(80~89세),1761,409,42,84,120,186,117,179,144,92,46,64,0,97,41,70,46,0,24,0,0
97,201705,남자,(90~99세),141,39,6,6,8,17,4,7,10,6,5,8,0,13,5,3,3,0,1,0,0
98,201705,남자,(100세_이상),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,201705,여자,(0~9세),18354,2308,56,104,220,226,133,238,182,55,88,2565,0,2538,2284,2848,2564,0,1945,0,0
100,201705,여자,(10~19세),14509,2336,74,81,237,260,180,229,249,86,128,2271,0,1968,1841,1939,1533,0,1097,0,0
101,201705,여자,(20~29세),13725,2929,144,166,324,462,399,374,307,150,143,1498,0,2026,964,1497,1219,0,1123,0,0
102,201705,여자,(30~39세),25068,3255,133,156,317,444,287,398,260,121,129,3206,0,3790,2733,3866,3464,0,2509,0,0
103,201705,여자,(40~49세),22261,3510,133,171,397,496,317,393,389,181,185,3220,0,3127,2801,2831,2357,0,1753,0,0
104,201705,여자,(50~59세),14873,3214,225,264,522,792,546,649,488,350,218,1380,0,1572,934,1402,1170,0,1147,0,0
105,201705,여자,(60~69세),9771,2266,178,281,451,754,425,566,441,338,165,616,0,845,464,785,722,0,474,0,0
106,201705,여자,(70~79세),6346,1606,147,251,380,602,309,533,421,258,166,302,0,429,209,352,242,0,139,0,0
107,201705,여자,(80~89세),3672,770,109,201,205,408,196,280,256,215,112,174,0,265,122,188,82,0,89,0,0
108,201705,여자,(90~99세),566,122,14,32,25,67,22,53,49,24,9,21,0,35,23,30,23,0,17,0,0
109,201705,여자,(100세_이상),23,5,0,0,1,2,2,1,1,2,2,0,0,1,1,2,2,0,1,0,0
110,201706,남자,(0~9세),19381,2395,62,78,230,251,125,239,193,65,86,2950,0,2673,2400,2817,2765,0,2052,0,0
111,201706,남자,(10~19세),15083,2419,86,113,270,269,195,305,275,98,127,2451,0,2027,1976,1880,1505,0,1087,0,0
112,201706,남자,(20~29세),14372,3469,224,205,459,613,566,525,402,237,188,1669,0,1563,855,1314,1012,0,1071,0,0
113,201706,남자,(30~39세),23882,3590,182,231,493,594,548,544,384,222,165,3083,0,3145,2119,3208,3046,0,2328,0,0
114,201706,남자,(40~49세),25546,4080,258,246,569,737,580,618,514,283,267,3701,0,3264,2919,3063,2555,0,1892,0,0
