,년월,성별,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동
29,201803,여자,145419,21953,1189,1623,2956,4435,2761,3641,2963,1743,1331,10137,15489,16851,12423,15790,13605,0,16529,0,0
30,201804,남자,146634,22898,1511,1727,3413,4786,3429,4185,3203,2043,1424,9648,16887,15747,12013,14655,12877,0,16188,0,0
31,201804,여자,147332,21842,1171,1611,2936,4418,2747,3620,2945,1742,1326,10057,17827,16786,12350,15699,13515,0,16740,0,0
32,201805,남자,147942,22858,1504,1725,3426,4794,3432,4171,3201,2045,1416,9598,18264,15689,11952,14639,12876,0,16352,0,0
33,201805,여자,148594,21773,1166,1610,2928,4408,2758,3605,2940,1732,1319,10008,19326,16701,12295,15631,13516,0,16878,0,0
34,201806,남자,149301,22713,1502,1723,3436,4808,3435,4147,3194,2042,1403,9561,19588,15600,11897,14584,13127,0,16541,0,0
35,201806,여자,149963,21671,1158,1605,2932,4392,2751,3611,2940,1723,1304,9954,20744,16598,12208,15546,13775,0,17051,0,0
36,201807,남자,150474,22644,1521,1715,3427,4804,3430,4151,3189,2044,1404,9518,20451,15558,11822,14540,13306,7807,7370,1773,0
37,201807,여자,151150,21584,1154,1613,2909,4392,2740,3596,2927,1732,1300,9909,21693,16553,12135,15496,13983,8083,7596,1755,0
38,201808,남자,151991,22642,1500,1710,3419,4787,3416,4155,3172,2044,1402,9474,21206,15550,11770,14531,13489,7872,7525,2327,0
39,201808,여자,152592,21532,1147,1597,2904,4374,2755,3590,2910,1730,1288,9868,22415,16545,12083,15463,14190,8122,7757,2322,0
40,201809,남자,153292,22799,1506,1696,3399,4748,3412,4155,3162,2032,1399,9447,21456,15576,11714,14524,13588,8235,7601,2843,0
41,201809,여자,153702,21581,1146,1590,2892,4344,2737,3605,2911,1724,1286,9817,22685,16521,12053,15393,14242,8489,7841,2845,0
42,201810,남자,154506,22790,1488,1692,3405,4745,3408,4162,3144,2014,1391,9449,21762,15595,11718,14493,13683,8623,7609,3335,0
43,201810,여자,154823,21481,1143,1582,2891,4332,2755,3587,2880,1710,1264,9822,22996,16502,12058,15358,14341,8855,7893,3373,0
44,201811,남자,155292,22756,1493,1680,3408,4756,3420,4147,3126,2022,1392,9471,21970,15619,11762,14487,13770,8794,7672,3547,0
45,201811,여자,155732,21436,1140,1575,2903,4331,2750,3581,2871,1705,1259,9826,23249,16533,12099,15403,14457,9038,7959,3617,0
46,201812,남자,156292,22755,1503,1680,3421,4747,3386,4143,3120,2030,1382,9496,22229,15623,11811,14477,14030,8996,7724,3739,0
47,201812,여자,156763,21398,1142,1575,2923,4315,2717,3560,2867,1701,1254,9839,23550,16552,12146,15433,14741,9224,7994,3832,0
48,201901,남자,157552,22629,1503,1678,3430,4747,3360,4166,3109,2029,1380,9542,22434,15673,11820,14420,14357,9245,7793,4237,0
49,201901,여자,158191,21302,1140,1575,2913,4275,2704,3567,2861,1695,1250,9867,23820,16655,12141,15389,15085,9482,8096,4374,0
50,201902,남자,159316,22565,1520,1666,3433,4727,3368,4175,3099,2020,1373,9550,22594,15679,11813,14408,15186,9488,8017,4635,0
51,201902,여자,159939,21236,1130,1565,2913,4247,2705,3547,2841,1689,1253,9875,24018,16691,12124,15408,15896,9728,8329,4744,0
52,201903,남자,160508,22490,1519,1663,3439,4723,3369,4147,3086,2028,1371,9533,22669,15728,11798,14392,15551,9815,8334,4853,0
